variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,17,15.046875,13.28125,,3.984375,,5.094898369861767e-07,0.3,0.0008500000000000001,19.49296760559082,0.051300552087984175,16
sa,18,16.09375,13.828125,,4.1484375,,5.394613253884017e-07,0.3,0.0009,21.072763442993164,0.047454620876148386,16
sa,19,16.46875,14.015625,,4.2046874999999995,,5.694309948012233e-07,0.3,0.00095,21.748607635498047,0.04597995498193647,16
sa,20,17.59375,12.96875,,3.890625,,5.994006642140448e-07,0.3,0.001,23.7011775970459,0.04219199640631525,15
sa,21,17.0,13.8125,,4.14375,,6.293703336268663e-07,0.3,0.0010500000000000002,21.962677001953125,0.04553179013246294,16
sa,22,17.390625,12.015625,,3.6046875,,6.593418220290914e-07,0.3,0.0011,22.6508846282959,0.0441483860966199,14
sa,23,16.078125,13.5625,,4.06875,,6.89311491441913e-07,0.3,0.00115,21.532089233398438,0.046442311712553155,16
sa,24,16.203125,13.46875,,4.0406249999999995,,7.192811608547345e-07,0.3,0.0012000000000000001,21.420181274414062,0.046684945714930905,16
sa,25,16.875,12.140625,,3.6421875,,7.49250830267556e-07,0.3,0.0012500000000000002,23.48763084411621,0.04257560103174501,14
sa,26,19.3125,13.0,,3.9,,7.792204996803775e-07,0.3,0.0013,22.09825897216797,0.04525243374419076,15
sa,27,17.46875,14.0625,,4.21875,,8.091919880826026e-07,0.3,0.00135,27.54658317565918,0.03630214294176506,16
sa,28,16.53125,13.515625,,4.0546875,,8.391616574954242e-07,0.3,0.0014000000000000002,24.19906997680664,0.04132390215650602,15
sa,29,17.421875,12.984375,,3.8953124999999997,,8.691295079188421e-07,0.3,0.0014500000000000001,23.22089958190918,0.04306465373887043,15
sa,30,16.71875,13.359375,,4.0078125,,8.990991773316637e-07,0.3,0.0015,23.36307716369629,0.042802580884075174,15
